"","Finished","consent","gender","age","residence","education","smartphoneuse","mobileuse_sev","COVID_pos","COVID_pos_others","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_ndays_lockdown","COVID_lost_job","COVID_info_source","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_comply_percent","COVID_comply_pers","attention_check","att_check_bt","bluetooth_uptake1_bt","app_uptake1","is_accceptable1","perc_pop_use_bt","perc_pop_use_mild","reduce_lik_bt","reduce_lik_mild","reduce_lik_sev","return_activ_bt","return_activ_mild","return_activ_sev","reduce_spread_bt","reduce_spread_mild","reduce_spread_severe","ability_mild","ability_bt","decline_participate","decline_part_bt","proportionality","proportionality_bt","sensitivity","sensitivity_bt","risk_of_harm","risk_of_harm_bt","trust_intentions","trust_intentions_bt","trust_respectprivacy","trust_respectpriv_bt","data_security","data_security_bt","ongoing_control","bluetooth_uptake2_bt","change_sunset_bt","app_uptake2","sunset_app","data_local","is_acceptable2","sunset","opt_out","ip_support1","ip_concerned","ip_like","ip_harm_soc","ip_fair","ip_infect_self","ip_support2","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","scenario_type"
"1",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"2",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"3",1,5,1,54,5,1,1,NA,0,1,2,3,4,3,40,0,"1,3,4",10847,50000,30678,50000,12938,24237,21243,26441,15537,2,2,2,NA,NA,1,NA,NA,4,NA,6,NA,NA,6,NA,NA,4,NA,4,NA,2,NA,6,NA,6,NA,6,NA,5,NA,5,NA,5,NA,3,NA,NA,1,NA,NA,NA,NA,NA,5,3,4,3,5,6,5,6,5,3,2,1,1,2,1,1,"mild"
"4",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"5",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"6",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bluetooth"
"7",1,5,2,36,2,3,1,NA,0,1,2,3,2,3,15,1,"2,5",14926,50000,21017,50000,9576,21864,NA,50000,13983,80,5,NA,1,1,NA,NA,70,NA,4,NA,NA,5,NA,NA,4,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,3,NA,4,5,1,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,4,4,4,3,4,4,2,2,2,3,2,2,"bluetooth"
"8",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"severe"
"9",1,5,1,18,4,3,NA,1,0,0,2,4,3,4,16,1,"2",4194,7581,3710,11290,2258,484,7419,20000,4355,75,6,1,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,3,NA,NA,4,NA,NA,3,NA,4,NA,5,NA,4,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,3,4,4,5,5,5,5,5,4,1,2,2,3,2,2,"severe"
"10",1,5,2,19,2,5,NA,1,0,0,5,1,3,2,50,1,"4",10493,50000,12183,45423,6408,27183,44296,50000,28592,34,5,1,NA,NA,NA,0,NA,NA,NA,NA,4,NA,NA,4,NA,NA,3,NA,NA,2,NA,2,NA,2,NA,6,NA,1,NA,5,NA,4,NA,6,NA,NA,NA,NA,NA,0,1,0,5,3,4,3,6,2,5,2,7,4,3,3,1,2,4,2,"severe"
"11",1,5,1,24,3,3,1,NA,0,1,1,3,1,1,15,0,"2",1178,9604,4019,19360,4338,2896,19304,21244,10047,90,1,1,NA,NA,1,NA,NA,9,NA,1,NA,NA,3,NA,NA,3,NA,3,NA,6,NA,1,NA,1,NA,3,NA,3,NA,1,NA,1,NA,1,NA,NA,0,0,0,NA,NA,NA,1,1,1,1,1,5,1,1,6,4,1,3,2,2,3,4,"mild"
"12",1,5,2,20,5,2,1,NA,0,1,2,4,2,4,50,0,"1,2,3,4,5",1719,14756,6590,19914,5158,2436,21777,30659,4155,35,4,2,NA,NA,0,NA,NA,20,NA,6,NA,NA,5,NA,NA,1,NA,3,NA,3,NA,2,NA,5,NA,2,NA,5,NA,1,NA,4,NA,6,NA,NA,0,0,1,NA,NA,NA,4,2,4,5,5,1,5,6,6,4,4,4,3,4,4,4,"mild"
