"","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_fatalaties_1","COVID_fatalaties_2","COVID_fatalaties_3","COVID_fatalaties_4","COVID_fatalaties_5","COVID_fatalaties_7","COVID_fatalaties_8","COVID_fatalaties_9","COVID_fatalaties_10","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_comply_percent","COVID_comply_pers","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_deinstalled","RKI_blutooth","RKI_upload","RKI_reasons","RKI_friends_family","RKI_future_download","RKI_reasons_not_down","RKI_prevalence_app_1","RKI_mandatory","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4_REV","Conspir_5","Conspir_covid"
"1",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,5,1,NA,6,5,1,0,1,20,3,4,3,4,1,2,4,4,2,3,3,2,4,3,3,3,3,3,4,2,5634,128451,8732,57183,67606,44789,82535,195775,150141,2,2,3,3,2,3,3,3,2,34,2,1,"4,2,3,7",4,1,2,1,"",2,1,"4",1,NA,"",35,1,4,4,3,4,4,4,3,5,5,3,6,5,4,6,3,2,3,2,3,2,3,6,6,6,3,7,4,3,6,4,6
"3",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1,5,3,42,6,5,1,0,0,29,3,3,3,3,0,1,2,3,4,5,4,3,1,2,3,4,5,4,1,2,54930,107324,121690,77183,127887,87887,94366,126197,72113,1,2,3,4,5,4,3,2,1,50,5,1,"3",2,1,1,1,"",2,2,"3",1,NA,"",48,1,4,3,4,2,4,3,3,2,4,3,3,4,2,5,1,2,3,4,3,2,5,4,3,4,6,3,4,6,4,5,3
"5",1,5,1,48,2,3,1,0,0,29,3,2,3,2,1,1,5,4,5,4,4,4,2,3,4,3,5,3,3,2,51339,86780,113220,142147,103051,80678,73898,41356,84746,2,3,3,3,3,3,3,4,2,20,3,1,"2,8",3,2,NA,NA,"",NA,NA,"",NA,0,"5",28,0,3,3,4,3,2,4,4,4,3,4,1,2,2,4,2,3,2,3,2,2,3,4,4,3,2,4,3,4,4,4,4
"6",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,5,2,32,2,1,1,0,0,46,3,3,3,3,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,104407,103729,83786,81356,91525,82938,88136,76610,83841,3,3,3,3,3,3,3,3,3,50,5,2,"2",1,2,NA,NA,"",NA,NA,"",NA,0,"4",49,0,4,4,4,4,4,3,4,3,4,3,3,4,3,4,2,2,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4
"8",1,5,2,22,7,4,0,0,0,43,5,5,5,5,0,2,3,5,1,1,1,1,1,1,1,1,1,1,5,5,59355,41935,50323,39355,39355,41290,33548,40645,38710,1,2,1,1,1,1,1,1,1,11,7,4,"8",1,2,NA,NA,"",NA,NA,"",NA,0,"9",26,0,6,6,6,6,6,6,1,6,6,6,6,6,6,6,3,3,3,3,1,1,7,7,7,7,7,7,7,7,7,7,7
"9",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,5,1,19,6,3,1,1,1,NA,NA,3,NA,2,1,2,3,2,3,3,2,2,2,3,4,3,3,2,2,3,66452,62581,58065,86452,49032,64516,53548,51613,72258,3,3,3,3,3,3,2,1,3,40,3,2,"2",2,1,3,1,"",2,2,"3",1,NA,"",43,1,3,3,3,4,3,3,3,3,4,3,4,4,3,3,2,2,4,3,3,2,4,4,3,4,3,4,3,4,5,3,3
