"","duration","Finished","consent","gender","age","residence","education","smartphoneuse","COVID_pos","COVID_pos_others","COVID_probability_1","COVID_pers_harm","COVID_sev_general","COVID_pers_concern","COVID_concern4others","COVID_lost_job","COVID_info_source_1","COVID_info_source_2","COVID_info_source_3","COVID_info_source_4","COVID_info_source_5","COVID_info_source_6","COVID_info_source_7","COVID_info_trust_1","COVID_info_trust_2","COVID_info_trust_3","COVID_info_trust_4","COVID_info_trust_5","COVID_info_trust_6","Gov_understand","Gov_helpful","COVID_govresponse_1","COVID_govresponse_2","COVID_govresponse_3","COVID_govresponse_4","COVID_govresponse_5","COVID_govresponse_6","COVID_govresponse_7","COVID_govresponse_8","COVID_govresponse_9","COVID_govresponse_10","COVID_govresponse_11","COVID_govresponse_12","COVID_govresponse_13","COVID_govresponse_14","COVID_comply_pers","ahal_abst","ahal_hyg","ahal_mask","ahal_luft","COVID_comply_percent","RKI_technology","RKI_data_access","attention_check","RKI_download","RKI_download_time","RKI_left_installed","RKI_blutooth","RKI_friends_family","RKI_deinstalled","RKI_reasons_open","RKI_reasons","RKI_future_download","RKI_reasons_not_open","RKI_reasons_not_down","COVID_test","positive_upload","reasons_noup_open","reasons_noupload","upload_fut","noup_fut_reasons_op","noupload_reasons","RKI_prevalence_app","RKI_mandatory","noupload_reasons_all","upload_other_reasons","cwa_warn","cwa_warn_understand_1","cwa_warn_understand_2","cwa_warn_understand_3","cwa_green_wastun","cwa_red_wastun","cwa_understand_open","reduce_lik_bt","return_activ_past","return_activ_fut","reduce_spread_past","reduce_spread_fut","ability_bt","decline_part_bt","proportionality_bt","sensitivity_bt","risk_of_harm_bt","trust_intentions_bt","trust_respectpriv_bt","data_security_bt","ongoing_control","acc_general_1","acc_general_2","acc_general_3","acc_general_4","acc_general_5","acc_general_6","wv_freemarket_best","wv_freemarket_lim","wv_lim_gov","sci_betterlives","sci_nextgenopp","Conspir_1","Conspir_2","Conspir_3","Conspir_4","Conspir_5","Conspir_6_rev","Conspir_7","free_text"
"1",7,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",874,1,5,1,63,2,5,1,0,0,94,5,4,4,4,0,3,1,2,5,5,3,1,4,2,4,5,5,5,3,4,1,2,2,4,1,1,4,5,5,5,5,5,4,4,2,5,5,5,5,80,1,"4",1,1,2,1,2,1,NA,"Ich versuche andere zu schï¿½ï¿½tzen falls ich infiziert wu","1,3,4",NA,NA,NA,1,NA,NA,NA,1,NA,NA,25,1,"1,3,7",NA,2,5,5,3,"1,6,7","2,5,11","nein",1,1,4,2,2,4,6,6,1,1,6,6,6,6,4,4,4,4,1,4,3,6,4,5,5,1,2,1,1,1,2,1,NA
"3",800,1,5,2,22,5,3,1,0,1,29,2,4,2,4,0,4,2,4,4,4,4,2,4,3,4,4,4,5,4,3,3,3,1,3,3,3,4,5,5,5,4,4,4,3,2,5,5,5,5,95,2,"1,2",1,1,1,1,4,1,NA,"Zur meiner Gesundheit,aber auch fï¿½ï¿½r die Gesundheit meiner Mitmens","1,2,3",NA,NA,NA,1,NA,NA,NA,1,NA,NA,30,1,"1,5",NA,1,3,4,2,"5,6,9","5,6,9,11,12",NA,4,3,3,2,3,3,4,5,4,2,6,5,5,4,2,2,3,2,3,1,4,5,4,4,6,1,1,1,1,1,2,1,NA
"4",342,1,5,2,40,6,2,1,0,0,73,2,3,3,2,0,3,4,5,3,3,2,4,4,4,3,4,3,3,3,3,3,2,3,3,4,3,2,3,3,3,3,3,4,3,2,4,4,3,2,8,1,"1,2,3,5,6,7",3,1,3,1,2,0,NA,"Vorsicht. ","4",NA,NA,NA,3,NA,NA,NA,2,"... ","4",40,1,"6",".. ",3,3,3,3,"3,4,5,6,7,9,10,11,12","12","... ",3,4,1,4,2,5,2,2,4,2,5,4,3,5,3,2,3,2,3,3,5,6,3,4,5,3,4,3,3,3,4,4,NA
"5",480,1,5,2,41,2,2,1,0,0,1,1,2,1,1,0,1,5,4,2,5,5,1,1,3,3,3,3,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,4,4,3,60,4,"7",1,2,NA,NA,NA,NA,NA,NA,NA,0,"ist mir zu unausgereift","2,4,10",NA,NA,NA,NA,NA,NA,NA,30,0,"6",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,4,1,3,2,1,1,1,1,4,3,4,4,4,4,4,4,7,6,6,2,4,1,5,5,1,3,NA
"6",616,1,5,2,18,2,3,1,0,0,61,1,2,3,2,1,2,3,1,3,2,4,1,4,1,1,3,3,4,1,1,1,2,3,3,3,3,4,4,4,4,4,2,2,4,2,4,5,4,4,60,4,"7",1,2,NA,NA,NA,NA,NA,NA,NA,0,"Nicht ausreichend sicher ","1,2,4,5,9",NA,NA,NA,NA,NA,NA,NA,30,0,"1,4,5,6",NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,3,5,2,2,4,2,2,2,2,4,4,4,2,4,2,3,3,6,6,6,2,3,2,5,4,4,3,NA
"7",935,1,5,2,44,6,2,1,0,0,49,3,3,3,4,0,1,1,2,3,5,4,2,1,1,1,1,1,1,3,3,3,3,3,4,4,3,4,5,4,5,5,3,5,4,2,4,4,4,4,80,4,"7",3,2,NA,NA,NA,NA,NA,NA,NA,0,"k.a","7",NA,NA,NA,NA,NA,NA,NA,60,0,"8","k.a",NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,4,4,3,4,4,4,4,3,4,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,4,3,NA
"8",625,1,5,2,20,6,3,1,0,1,68,1,4,2,4,1,3,4,4,3,2,3,1,4,3,3,3,3,4,5,3,4,2,4,5,2,1,5,5,5,5,4,4,3,4,2,5,5,5,4,55,1,"1",1,1,1,1,1,1,NA,"Damit ich informiert bleibe","1,2,3,4,5",NA,NA,NA,3,NA,NA,NA,1,NA,NA,65,1,"2,4,6,7",NA,2,5,5,5,"3,4,6,7,9","2,3,4,5,6,7,9,11,12",NA,3,2,4,2,2,3,5,4,3,1,4,3,4,3,3,1,2,2,2,1,4,7,4,5,6,1,3,3,1,1,5,1,NA
"9",1065,1,5,2,32,5,1,1,1,0,NA,NA,3,NA,2,0,2,2,2,1,1,2,1,2,2,2,1,1,2,4,3,3,3,2,3,4,3,3,4,4,3,4,3,4,3,3,2,4,1,3,80,4,"1,7",3,2,NA,NA,NA,NA,NA,NA,NA,0,"Habe genug ï¿½ï¿½nfo meiner Betreuer","4",NA,NA,NA,NA,NA,NA,NA,0,0,"8",NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,3,3,NA
"10",13,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
